ingredient,category,risk_level,health_effect
"-vitamin c 1%: extracted from potato and known to support glow.
-vitamin e: extracted from sunflower and known to protect skin from external aggressors.

aqua (water)",unknown,unknown,unknown
cassia angustifolia seed polysaccharide,unknown,unknown,unknown
cocos nucifera (coconut) fruit juice,unknown,unknown,unknown
"-coconut and baobab oils: nourish and soften skin; omega fatty acids promote healthier-looking skin.
-shea and cocoa butters: nourish and condition; rich in essential fatty acids and antioxidants.
-cocoa powder: clarifies and softens feel of skin.

sodium palm kernelate",unknown,unknown,unknown
"ferulic acid.

the list of ingredients is subject to change",unknown,unknown,unknown
peg-75 shea butter glycerides (emollient),unknown,unknown,unknown
mushroom extract,unknown,unknown,unknown
yogurt,unknown,unknown,unknown
eugenol.,unknown,unknown,unknown
"and cleanse.

water/aqua",unknown,unknown,unknown
and energize dry and dehydrated skin.water/aqua/eau,unknown,unknown,unknown
"visibly purifying and refreshing skin.
-papaya enzyme and green clay: exfoliate skin",unknown,unknown,unknown
salix nigra (willow) bark extract,unknown,unknown,unknown
-sugar: has a science-backed,unknown,unknown,unknown
-hyaluronic acid: within 30 minutes,unknown,unknown,unknown
centaurea cyanus flower extract,unknown,unknown,unknown
"and nipplewort: protect skin from indoor and outdoor pollution.

aqua/water/eau",unknown,unknown,unknown
ceramide np (skin-replenishing/skin-restoring ingredients),unknown,unknown,unknown
"cleansing and refreshing skin.
-papaya enzyme: gently exfoliates and cleanses pores for a fresh-looking complexion.

cetyl ethylhexanoate",unknown,unknown,unknown
hibiscus sabdariffa (hibiscus) flower extract,unknown,unknown,unknown
"and flavonoids that clears away dead surface skin. - sugarcane-derived squalane: delivers weightless moisture without shine.




water/aqua/eau",unknown,unknown,unknown
retinyl linoleate,unknown,unknown,unknown
"ext. violet 2 (ci 60730).

please be aware that ingredient lists may change or vary from time to time. please refer to the ingredient list on the product package you receive for the most up-to-date list of ingredients.",unknown,unknown,unknown
abies pectinata leaf oil,unknown,unknown,unknown
saccharina longicruris (seaweed) extract,unknown,unknown,unknown
"-ceramosides® (a phytoceramide): delivers new ceramides to the skin and restores the skin water barriers.

dark chocolate+ (chocolate liquor",unknown,unknown,unknown
sodium glycerophosphate,unknown,unknown,unknown
bêta-glucane,unknown,unknown,unknown
seaweed (algae) extract,unknown,unknown,unknown
dipentaerythrityl hexahydroxystearate/hexastearate/hexarosinate,unknown,unknown,unknown
"benzyl salicylate.



the list of ingredients is subject to change",unknown,unknown,unknown
"and fight excess shine.
-barbados cherry (acerola): every one of these tropical cherries is loaded with more vitamin c than an orange.
-australian lemon myrtle and witch hazel water: help reduce oil and refine pores.

aqua/water/eau",unknown,unknown,unknown
eugenia caryophyllus (clove) leaf oil,unknown,unknown,unknown
"two naturally sourced plant sugars: creates a natural tanned appearance on the skin’s surface.
-glycerin: protects against dehydration.

aqua/water/eau",unknown,unknown,unknown
kappaphycus alvarezii (red algae) extract,unknown,unknown,unknown
"-cl1870 peptide complex™: fights the look of wrinkles.
-hyaluronic acid: floods your skin with hydration.
-soybean seed extract: nourishes to fortify skin.

water\aqua\eau",unknown,unknown,unknown
heptapeptide-15 palmitate,unknown,unknown,unknown
"iron oxide (ci 77492)].

the list of ingredients is subject to change",unknown,unknown,unknown
"and evens the look of skin tone.
-lactic acid: an aha with exfoliating",unknown,unknown,unknown
allantoin,unknown,unknown,unknown
"-hydrafence™ 3%: provides up to 120 hours of enhanced hydration.
-hyaluronic acid complex 75%: drenches skin with moisture for a plumper look.
-ceramide complex 5%: helps improve the look of fine lines and wrinkles.

water/aqua/eau",unknown,unknown,unknown
peg-8 stearate,unknown,unknown,unknown
coleus barbatus root extract,unknown,unknown,unknown
vitis vinifera (grape) leaf extract,unknown,unknown,unknown
"highlighted ingredients:
-broad spectrum spf 45: water-resistant sunscreens shields skin from visibly aging uva/uvb rays.
-pentavitin®:

avobenzone 3%",unknown,unknown,unknown
"which may cause oxidative damage to skin.

zinc oxide 18.23%",unknown,unknown,unknown
cananga odorata flower (ylang ylang) oil,unknown,unknown,unknown
"-sulfate-free coconut cleansers: help to effectively remove dirt and makeup without stripping skin’s natural lipids and reduce excess oil.
-brazilian kaolin volcanic clay: helps control sebum secretion and remove residue.
-canadian glacial clay: helps detoxify",unknown,unknown,unknown
"-acetyl tetrapeptide-3 in combination with trifolium pratense flower extract: supports hair density and thickness.
-biotinoyl tripeptide-1 and panthenol: support hair density and thickness.
-combination of camellia sinensis leaf extract",unknown,unknown,unknown
vitis vinifera (grape) fruit water*,unknown,unknown,unknown
"healthy skin.

- lactic acid (aha) 5%: visibly decreases discoloration smooths texture",unknown,unknown,unknown
vitamin d (algae),unknown,unknown,unknown
ci 42090 (blue 1,unknown,unknown,unknown
"-seaweed extracts & spirulina: antioxidant-rich ocean botanicals that soothe irritated skin.
-niacinamide: supports a stronger skin barrier while improving the skin’s texture.
-plant-derived oils: jojoba",unknown,unknown,unknown
melia azadirachta (neem) flower extract,unknown,unknown,unknown
calendula officinalis extract,unknown,unknown,unknown
polysaccharides,unknown,unknown,unknown
peg/ppg-14/4 dimethicone,unknown,unknown,unknown
thuja orientalis extract,unknown,unknown,unknown
-lavender oil: known for its relaxing aroma.  -lavender essential water: provides hydrating and calming properties. -chamomile extract: boosts calming properties. water,unknown,unknown,unknown
"titanium dioxide (ci 77891).

.",unknown,unknown,unknown
mirabilis jalapa extract,unknown,unknown,unknown
"-tiger grass: smooths and cares for damaged skin.
-allantoin: hydrates and supports skin health and cell turnover.
-kalahari melon and moringa: unclog pores and mop up excess sebum with a rich supply of fatty acids and antioxidants.

caprylic/capric triglyceride",unknown,unknown,unknown
"and redness.
-phytosterols complex: reduces the look of redness due to sensitive skin.
-saccharide isomerate extract: minimizes the appearance of pores while supporting the skin’s moisture barrier for a smooth",unknown,unknown,unknown
limnanthes alba (meadowfoam) seed oil (non-fragrant plant oil),unknown,unknown,unknown
"zinc oxide 5.00%: offer sun protection.

water",unknown,unknown,unknown
-reishi: helps protect skin against stressors,unknown,unknown,unknown
-rice powder: actively works to gently remove dead skin cells,unknown,unknown,unknown
rice flour,unknown,unknown,unknown
centella asiatica leaf water,unknown,unknown,unknown
citric acid extract derived from citrus fruits to modify the formula’s ph,unknown,unknown,unknown
"and protects the skin from free radicals.
-dragon fruit (packed with complex of minerals—magnesium",unknown,unknown,unknown
and apricot oil): energizes and nourishes to promote a natural glow. -kangaroo flower and mitracarpus extracts: visibly firm,unknown,unknown,unknown
and prickly pear extract),unknown,unknown,unknown
-titanium dioxide 5.00%,unknown,unknown,unknown
urticadioicia (nettle) leaf extract+,unknown,unknown,unknown
"-seaweed extracts & spirulina: antioxidant-rich ocean botanicals that soothe irritated skin.
-niacinamide: support a stronger skin barrier while visibly improving the skin’s texture.
-probiotics: balance skin’s microbiome to neutralize odor and replenish healthy bacteria.
water",unknown,unknown,unknown
gigartina stellata/kappaphycus alvarezii extract,unknown,unknown,unknown
avena sativa (oat) kernel,unknown,unknown,unknown
pomegranate,unknown,unknown,unknown
tromethamine,unknown,unknown,unknown
"and sunscreen residue.
-papaya enzymes: naturally exfoliate pores.

cetyl ethylhexanoate",unknown,unknown,unknown
sunscreen octocrylene 5.0%,unknown,unknown,unknown
"delicate skin.

water\aqua\eau",unknown,unknown,unknown
ricinus communis (castor) seed oil,unknown,unknown,unknown
ocimum basilicum (basil) flower/leaf extract,unknown,unknown,unknown
tocopheryl acetate (vitamin e acetate),unknown,unknown,unknown
solanum lycopersicum (tomato) fruit extract,unknown,unknown,unknown
"sodium benzoate.



the list of ingredients is subject to change",unknown,unknown,unknown
"-retinol 0.3%: fights the look of fine lines and wrinkles.
-bakuchiol 2%: amplifies retinol's fighting power.
-peptides: support natural collagen and improve the look of firmness.

water (aqua)",unknown,unknown,unknown
melia azadirachta extract,unknown,unknown,unknown
"it helps to refresh and recharge skin. .

please be aware that ingredient lists may change or vary from time to time. please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",unknown,unknown,unknown
"limonene. *ectoine.

the list of ingredients is subject to change",unknown,unknown,unknown
keranat™ oil,unknown,unknown,unknown
citrus junos peel extract,unknown,unknown,unknown
cymbopogon citratus leaf oil,unknown,unknown,unknown
caprylhydroxamic acid. *certified organic.,unknown,unknown,unknown
glut[1]athione,unknown,unknown,unknown
yellow 5 (ci 19140).,unknown,unknown,unknown
"enhancing the renewal of the skin’s outer layer.   
water",unknown,unknown,unknown
juniperus communis fruit extract,unknown,unknown,unknown
"-prebiotics: feed good bacteria.
-probiotics: support the skin barrier.
-apple amino acids: balance ph levels.

aqua (water)",unknown,unknown,unknown
-bacuri butter: nourishes the skin with minerals,unknown,unknown,unknown
synthetic wax,unknown,unknown,unknown
"-maxi-youth™: improves the appearance of skin elasticity and wrinkles and smooths texture.
-octapeptide-3: reduces the appearance of expression wrinkles.
-hexapeptide-8: helps make the skin look tighter and firmer.

water",unknown,unknown,unknown
"peptides reduce the appearance of wrinkles.

aqua (water)",unknown,unknown,unknown
acacia decurrens flower cera/wax,unknown,unknown,unknown
lavandula angustifolia (lavender) flower/ leaf/stem extract,unknown,unknown,unknown
"ulex europaeus leaf/root/stem extract.

.",unknown,unknown,unknown
-hyaluronic acid: delivers moisture,unknown,unknown,unknown
ci 15850,unknown,unknown,unknown
"and linolenic acids: visibly diminish dullness and support skin's resilience.
-evening primrose oil: an antioxidant-rich",unknown,unknown,unknown
sage flower/leaf/stem extract*,unknown,unknown,unknown
actinidia chinensis (kiwi) fruit extract,unknown,unknown,unknown
ulmus davidiana root extract,unknown,unknown,unknown
dicaprylyl carbonate,unknown,unknown,unknown
"leaving it looking radiant.
-glutathione: powerful antioxidant tripeptide protects skin from free radical damage.

zinc oxide 15%",unknown,unknown,unknown
octanediol,unknown,unknown,unknown
paeonia suffruticosa root extract.,unknown,unknown,unknown
"and visibly brightens skin.
-hyaluronic acid: a humectant that anchors moisture within the skin",unknown,unknown,unknown
tocopherol (mixed),unknown,unknown,unknown
"-wetforce technology with ionic mineral sensor: provides continual protection when exposed to water or sweat.
-aloe extract: provides a soothing effect.
-superveil-uv 360™: creates a thin veil of even coverage. 
-titanium dioxide 9.1%",unknown,unknown,unknown
cassia alata leaf extract,unknown,unknown,unknown
orange 5 (ci 45370),unknown,unknown,unknown
pistacia lentiscus (mastic) gum,unknown,unknown,unknown
"ci 75810 (chlorophyllin-copper complex).

the list of ingredients is subject to change",unknown,unknown,unknown
hexyl cinnamaldehyde,unknown,unknown,unknown
"and calms.

water",unknown,unknown,unknown
"to soothe the body and promote relaxation.
-meadowfoam seed oil: rich in long-chain fatty acids and protective antioxidants for supremely soft",unknown,unknown,unknown
-extract of cress sprouts: supports the reduction of melanin production,unknown,unknown,unknown
borago officinalis (borage) leaf extract,unknown,unknown,unknown
"uneven skin.
-barbados cherry (acerola) extract: is loaded with more vitamin c than an orange; conditions skin.

(potato) pulp extract",unknown,unknown,unknown
lannea microcarpa fruit extract,unknown,unknown,unknown
aqua/water/eau,unknown,unknown,unknown
silybum marianum seed extract,unknown,unknown,unknown
"plumped up appearance.   
water",unknown,unknown,unknown
iron oxides (ci 77491).,unknown,unknown,unknown
sea salt\maris sal\sel marin,unknown,unknown,unknown
lauryl peg/ppg-18/18 methicone,unknown,unknown,unknown
"-rosehip oil: soothes and smooths skin and pubic hair.
-bisabolol: reduces visible redness and irritation.
-grapeseed oil: decreases appearance of scars and stretch marks.

helianthus annuus (sunflower) seed oil",unknown,unknown,unknown
citrus aurantium amara (bitter orange) fruit extract,unknown,unknown,unknown
"-zinc oxide: shields skin from uv rays and leaves no white cast.
-blue sea kale: vitamin c-rich marine plant that fights the look of photo aging and fine lines.
-sea aster: reduces the appearance of skin sensitivity and redness",unknown,unknown,unknown
